id,tipus,talla,estil,preu,categoria
1,sudadera,M,sport,59.99,superior
2,top,L,formal,99.99,superior
3,botes,L,formal,79.99,calçat
4,jaqueta,XL,sport,99.99,superior
5,faldilla,XL,formal,49.99,inferior
6,botes,L,formal,19.99,calçat
7,sabates,M,elegant,59.99,calçat
8,vestit,S,formal,59.99,superior
9,vestit,XL,elegant,99.99,superior
10,sabates,M,elegant,99.99,calçat
11,barret,XL,casual,79.99,accessoris
12,botes,M,elegant,29.99,calçat
13,americana,XL,formal,59.99,superior
14,ulleres,XL,elegant,39.99,accessoris
15,samarreta,L,sport,29.99,superior
16,faldilla,M,formal,39.99,inferior
17,vamba,L,elegant,79.99,calçat
18,samarreta,XL,casual,99.99,superior
19,xandall,L,sport,99.99,inferior
20,ulleres,S,sport,59.99,accessoris
21,botes,L,formal,19.99,calçat
22,xandall,L,sport,49.99,inferior
23,gorra,M,sport,79.99,accessoris
24,xandall,XL,sport,29.99,inferior
25,botes,M,elegant,79.99,calçat
26,pantalons,S,formal,49.99,inferior
27,samarreta,L,sport,49.99,superior
28,sabates,S,elegant,39.99,calçat
29,guants,S,sport,79.99,accessoris
30,texans,L,sport,99.99,inferior
31,pantalons,M,elegant,29.99,inferior
32,vestit,S,elegant,29.99,superior
33,barret,M,casual,39.99,accessoris
34,americana,XL,elegant,79.99,superior
35,americana,L,formal,59.99,superior
36,sabates,S,elegant,29.99,calçat
37,top,M,formal,49.99,superior
38,botes,M,formal,49.99,calçat
39,samarreta,XL,casual,39.99,superior
40,pantalons,S,casual,129.99,inferior
